Name,Base,Sold,Team,Prev_team,Nationality,Role
ISHAN KISHAN,2,15.25,MI,MI,Indian,Wicket Keeper
DEEPAK CHAHAR,2,14,CSK,CSK,Indian,Bowler
SHREYAS IYER,2,12.25,KKR,DC,Indian,Batsman
LIAM LIVINGSTONE,1,11.5,PBKS,RR,Overseas,All-Rounder
SHARDUL THAKUR,2,10.75,DC,CSK,Indian,Bowler
HARSHAL PATEL,2,10.75,RCB,RCB,Indian,All-Rounder
WANINDU HASARANGA,1,10.75,RCB,RCB,Overseas,All-Rounder
NICHOLAS POORAN,1.5,10.75,SRH,PBKS,Overseas,Wicket Keeper
LOCKIE FERGUSON,2,10,GT,KKR,Overseas,Bowler
AVESH KHAN,0.2,10,LSG,DC,Indian,Bowler
PRASIDH KRISHNA,1,10,RR,KKR,Indian,Bowler
KAGISO RABADA,2,9.25,PBKS,DC,Overseas,Bowler
RAHUL TEWATIA,0.4,9,GT,RR,Indian,All-Rounder
SHAHRUKH KHAN,0.4,9,PBKS,PBKS,Indian,All-Rounder
JASON HOLDER,1.5,8.75,LSG,SRH,Overseas,All-Rounder
WASHINGTON SUNDAR,1.5,8.75,SRH,RCB,Indian,All-Rounder
SHIMRON HETMYER,1.5,8.5,RR,DC,Overseas,Batsman
RAHUL TRIPATHI,0.4,8.5,SRH,KKR,Indian,Batsman
KRUNAL PANDYA,2,8.25,LSG,MI,Indian,All-Rounder
TIM DAVID,0.4,8.25,MI,RCB,Overseas,All-Rounder
SHIKHAR DHAWAN,2,8.25,PBKS,DC,Indian,Batsman
NITISH RANA,1,8,KKR,KKR,Indian,All-Rounder
JOFRA ARCHER,2,8,MI,RR,Overseas,All-Rounder
TRENT BOULT,2,8,RR,MI,Overseas,Bowler
JOSH HAZLEWOOD,2,7.75,RCB,CSK,Overseas,Bowler
DEVDUTT PADIKKAL,2,7.75,RR,RCB,Indian,Batsman
ROMARIO SHEPHERD,0.75,7.75,SRH,Nil,Overseas,All-Rounder
MARK WOOD,2,7.5,LSG,Nil,Overseas,Bowler
PAT CUMMINS,2,7.25,KKR,KKR,Overseas,All-Rounder
SHIVAM MAVI,0.4,7.25,KKR,KKR,Indian,All-Rounder
FAF DU PLESSIS,2,7,RCB,CSK,Overseas,Batsman
AMBATI RAYUDU,2,6.75,CSK,CSK,Indian,Wicket Keeper
QUINTON DE KOCK,2,6.75,LSG,MI,Overseas,Wicket Keeper
JONNY BAIRSTOW,1.5,6.75,PBKS,SRH,Overseas,Wicket Keeper
MITCHELL MARSH,2,6.5,DC,SRH,Overseas,All-Rounder
YUZVENDRA CHAHAL,2,6.5,RR,RCB,Indian,Bowler
ABHISHEK SHARMA,0.2,6.5,SRH,SRH,Indian,All-Rounder
DAVID WARNER,2,6.25,DC,SRH,Overseas,Batsman
MOHAMMED SHAMI,2,6.25,GT,PBKS,Indian,Bowler
ODEAN SMITH,1,6,PBKS,Nil,Overseas,All-Rounder
DEEPAK HOODA,0.75,5.75,LSG,PBKS,Indian,All-Rounder
DINESH KARTHIK,2,5.5,RCB,KKR,Indian,Wicket Keeper
KHALEEL AHMED,0.5,5.25,DC,SRH,Indian,Bowler
RAHUL CHAHAR,0.75,5.25,PBKS,MI,Indian,Bowler
RAVICHANDRAN ASHWIN,2,5,RR,DC,Indian,All-Rounder
MANISH PANDEY,1,4.6,LSG,SRH,Indian,Batsman
DWAYNE BRAVO,2,4.4,CSK,CSK,Overseas,All-Rounder
CHETAN SAKARIYA,0.5,4.2,DC,RR,Indian,Bowler
BHUVNESHWAR KUMAR,2,4.2,SRH,SRH,Indian,Bowler
