player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,base,Amount
219,Aaron Finch,Royal Challengers Bangalore,2020,1,1,0,0,1,0,2,4.4
217,Abdul Samad,Sunrisers Hyderabad,2020,0,1,1,0,0,0,0.2,0.2
1944,Abhijeet Tomar,Kolkata Knight Riders,2022,0,1,0,0,0,0,0.2,0.4
0,Abhinav Sadarangani,Gujarat Titans,2022,0,1,0,0,0,0,0.2,2.6
76,Abhishek Sharma,Sunrisers Hyderabad,2022,0,1,1,0,0,1,0.2,6.5
100,Adam Milne,Chennai Super Kings,2022,1,0,1,0,1,0,1.5,1.9
100,Adam Milne,Mumbai Indians,2021,1,0,1,0,1,0,1.5,3.2
654,Aiden Markram,Sunrisers Hyderabad,2022,1,1,0,0,1,0,1,2.6
187,Ajinkya Rahane,Kolkata Knight Riders,2022,0,1,0,0,1,0,1,1
2536,Akash Deep,Royal Challengers Bangalore,2022,0,0,1,0,0,0,0.2,0.2
2680,Akash Singh,Rajasthan Royals,2021,0,0,1,0,0,0,0.2,0.2
2680,Akash Singh,Rajasthan Royals,2020,0,0,1,0,0,0,0.2,0.2
210,Alex Carey,Delhi Capitals,2020,1,0,0,1,1,0,2,2.4
281,Alex Hales,Kolkata Knight Riders,2022,1,1,0,0,1,0,1.5,1.5
108,Alzarri Joseph,Gujarat Titans,2022,1,0,1,0,1,0,0.75,2.4
3787,Aman Khan,Kolkata Knight Riders,2022,0,1,1,0,0,0,0.2,0.2
27,Ambati Rayudu,Chennai Super Kings,2022,0,0,0,1,1,0,2,6.75
179,Andrew Tye,Rajasthan Royals,2020,1,0,1,0,1,0,1,1
0,Aneeshwar Gautam,Royal Challengers Bangalore,2022,0,1,1,0,0,0,0.2,0.2
232,Anirudha Ashok Joshi,Rajasthan Royals,2020,0,1,1,0,0,0,0.2,0.2
176,Ankit Singh Rajpoot,Lucknow Super Giants,2022,0,0,1,0,0,0,0.2,0.5
149,Anmolpreet Singh,Mumbai Indians,2022,0,1,0,0,0,0,0.2,0.2
2794,Ansh Patel,Punjab Kings,2022,0,1,1,0,0,0,0.2,0.2
231,Anuj Rawat,Royal Challengers Bangalore,2022,0,0,0,1,0,0,0.2,3.4
231,Anuj Rawat,Rajasthan Royals,2020,0,0,0,1,0,0,0.2,0.8
132,Anukul Roy,Kolkata Knight Riders,2022,0,1,1,0,0,0,0.2,0.2
0,Anunay Singh,Rajasthan Royals,2022,0,1,1,0,0,0,0.2,0.2
2893,Arjun Tendulkar,Mumbai Indians,2022,0,1,1,0,0,0,0.2,0.3
2893,Arjun Tendulkar,Mumbai Indians,2021,0,1,1,0,0,0,0.2,0.2
2265,Aryan Juyal,Mumbai Indians,2022,0,0,0,1,0,0,0.2,0.2
0,Ashok Sharma,Kolkata Knight Riders,2022,0,0,1,0,0,0,0.2,0.55
3484,Ashwin Hebbar,Delhi Capitals,2022,0,1,0,0,0,0,0.2,0.2
2637,Atharva Taide,Punjab Kings,2022,0,1,1,0,0,0,0.2,0.2
