player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,base,Amount
219,Aaron Finch,Royal Challengers Bangalore,2020,1,1,0,0,1,0,29.93577982,109,148.1834696,34.71276596,0,1,5,0,0,1044.882229,221.9227778,0,0,2,4.4
217,Abdul Samad,Sunrisers Hyderabad,2020,0,1,1,0,0,0,22.31818182,22,146.5671642,35.07142857,0.272727273,11,10.38888889,62.33333333,36,0,97.38196296,0,51.42857143,0.2,0.2
1944,Abhijeet Tomar,Kolkata Knight Riders,2022,0,1,0,0,0,0,13,5,73.03370787,13,0,0,0,0,0,0,0,0,0,0.2,0.4
76,Abhishek Sharma,Sunrisers Hyderabad,2022,0,1,1,0,0,1,19.4137931,29,138.6699507,25.59090909,0.636363636,11,7.904761905,23.71428571,18,29.225,111.2516522,0,33,0.2,6.5
100,Adam Milne,Chennai Super Kings,2022,1,0,1,0,1,0,6,18,131.7073171,13.5,1,38,7.420673077,27.07894737,21.89473684,0,104.1119753,14.56580671,11.91109922,1.5,1.9
100,Adam Milne,Mumbai Indians,2021,1,0,1,0,1,0,6,18,131.7073171,13.5,1,38,7.420673077,27.07894737,21.89473684,0,104.1119753,14.56580671,11.91109922,1.5,3.2
654,Aiden Markram,Sunrisers Hyderabad,2022,1,1,0,0,1,0,24.11764706,17,122.754491,29.28571429,0.833333333,6,6.705882353,22.8,20.4,144.8096523,56.86266667,33,0,1,2.6
187,Ajinkya Rahane,Kolkata Knight Riders,2022,0,1,0,0,1,0,22.7804878,41,123.0566535,23.94871795,0,0,0,0,0,345.342186,73.26,0,0,1,1
2536,Akash Deep,Royal Challengers Bangalore,2022,0,0,1,0,0,0,5.75,8,109.5238095,6.571428571,1.153846154,26,6.785578748,19.86666667,17.56666667,0,25.73666667,12.89144783,10.4433095,0.2,0.2
2680,Akash Singh,Rajasthan Royals,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
2680,Akash Singh,Rajasthan Royals,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
210,Alex Carey,Delhi Capitals,2020,1,0,0,1,1,0,27.91780822,73,128.6616162,31.35384615,0,0,0,0,0,431.2973203,213.8660952,0,0,2,2.4
281,Alex Hales,Kolkata Knight Riders,2022,1,1,0,0,1,0,28.66949153,118,145.380318,31.32407407,0,0,0,0,0,1174.758588,195.3489106,0,0,1.5,1.5
108,Alzarri Joseph,Gujarat Titans,2022,1,0,1,0,1,0,7.285714286,14,121.4285714,17,1.047619048,21,9.11778291,29.90909091,19.68181818,0,89.7678481,14.23978769,12.52957234,0.75,2.4
3787,Aman Khan,Kolkata Knight Riders,2022,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
27,Ambati Rayudu,Chennai Super Kings,2022,0,0,0,1,1,0,27.38461538,65,126.7806268,34.23076923,0,0,0,0,0,227.5113599,192.1001628,0,0,2,6.75
