pkey,created_on,last_updated_on,version,balls,fours,innings,maidens,no_balls,position,runs_0,runs,sixes,status,wickets,wide_balls,match_pkey,player_pkey
1,"2021-02-14 23:31:36",NULL,0,24,NULL,1,0,1,1,12,17,NULL,NULL,0,0,1,2
2,"2021-02-14 23:31:36",NULL,0,24,NULL,1,0,0,2,13,20,NULL,NULL,3,0,1,30
3,"2021-02-14 23:31:36",NULL,0,6,NULL,1,0,0,3,1,6,NULL,NULL,0,0,1,22
4,"2021-02-14 23:31:36",NULL,0,24,NULL,1,1,0,4,18,9,NULL,NULL,3,0,1,36
5,"2021-02-14 23:31:36",NULL,0,24,NULL,1,1,0,5,15,15,NULL,NULL,2,0,1,24
6,"2021-02-14 23:31:36",NULL,0,1,NULL,1,0,0,6,1,0,NULL,NULL,1,0,1,41
7,"2021-02-14 23:31:36",NULL,0,24,NULL,2,1,0,1,18,6,NULL,NULL,1,0,1,39
8,"2021-02-14 23:31:36",NULL,0,24,NULL,2,0,1,2,16,24,NULL,NULL,0,1,1,10
9,"2021-02-14 23:31:36",NULL,0,24,NULL,2,0,0,3,15,19,NULL,NULL,1,0,1,12
10,"2021-02-14 23:31:36",NULL,0,18,NULL,2,0,0,4,9,13,NULL,NULL,0,1,1,37
11,"2021-02-14 23:31:36",NULL,0,12,NULL,2,1,0,5,8,5,NULL,NULL,1,0,1,32
12,"2021-02-14 23:31:36",NULL,0,4,NULL,2,0,0,6,2,3,NULL,NULL,0,1,1,35
13,"2021-02-14 23:31:52",NULL,0,24,NULL,1,0,1,1,10,31,NULL,NULL,0,2,2,81
14,"2021-02-14 23:31:52",NULL,0,18,NULL,1,0,0,2,10,23,NULL,NULL,1,0,2,92
15,"2021-02-14 23:31:52",NULL,0,24,NULL,1,0,0,3,5,34,NULL,NULL,0,0,2,96
16,"2021-02-14 23:31:52",NULL,0,18,NULL,1,0,0,4,5,29,NULL,NULL,0,0,2,93
17,"2021-02-14 23:31:52",NULL,0,12,NULL,1,0,0,5,2,18,NULL,NULL,0,0,2,64
18,"2021-02-14 23:31:52",NULL,0,18,NULL,1,0,0,6,3,32,NULL,NULL,2,0,2,90
19,"2021-02-14 23:31:52",NULL,0,6,NULL,1,0,0,7,0,9,NULL,NULL,0,0,2,60
20,"2021-02-14 23:31:52",NULL,0,24,NULL,2,0,0,1,10,37,NULL,NULL,0,0,2,66
21,"2021-02-14 23:31:52",NULL,0,22,NULL,2,0,0,2,10,42,NULL,NULL,1,1,2,94
22,"2021-02-14 23:31:52",NULL,0,24,NULL,2,0,0,3,7,42,NULL,NULL,1,2,2,71
23,"2021-02-14 23:31:52",NULL,0,24,NULL,2,0,0,4,6,35,NULL,NULL,1,0,2,98
24,"2021-02-14 23:31:52",NULL,0,24,NULL,2,0,0,5,10,26,NULL,NULL,1,0,2,63
25,"2021-02-14 23:32:10",NULL,0,24,NULL,1,0,2,1,8,42,NULL,NULL,0,1,3,146
26,"2021-02-14 23:32:10",NULL,0,24,NULL,1,0,0,2,10,40,NULL,NULL,3,0,3,105
27,"2021-02-14 23:32:10",NULL,0,24,NULL,1,0,0,3,8,40,NULL,NULL,1,0,3,119
28,"2021-02-14 23:32:10",NULL,0,24,NULL,1,0,0,4,8,41,NULL,NULL,1,1,3,118
29,"2021-02-14 23:32:10",NULL,0,12,NULL,1,0,0,5,3,21,NULL,NULL,0,0,3,143
30,"2021-02-14 23:32:10",NULL,0,12,NULL,1,0,0,6,2,27,NULL,NULL,1,0,3,138
31,"2021-02-14 23:32:10",NULL,0,24,NULL,2,0,0,1,7,42,NULL,NULL,1,1,3,101
32,"2021-02-14 23:32:10",NULL,0,24,NULL,2,0,0,2,13,34,NULL,NULL,2,0,3,144
33,"2021-02-14 23:32:10",NULL,0,24,NULL,2,0,0,3,10,23,NULL,NULL,2,3,3,126
34,"2021-02-14 23:32:10",NULL,0,8,NULL,2,0,0,4,4,12,NULL,NULL,1,0,3,131
35,"2021-02-14 23:32:10",NULL,0,18,NULL,2,0,0,5,8,21,NULL,NULL,1,2,3,150
36,"2021-02-14 23:32:10",NULL,0,18,NULL,2,0,0,6,2,42,NULL,NULL,1,0,3,109
37,"2021-02-14 23:32:27",NULL,0,24,NULL,1,0,0,1,10,30,NULL,NULL,1,3,4,185
38,"2021-02-14 23:32:27",NULL,0,24,NULL,1,0,0,2,10,32,NULL,NULL,1,1,4,174
39,"2021-02-14 23:32:27",NULL,0,24,NULL,1,0,0,3,13,17,NULL,NULL,0,0,4,178
40,"2021-02-14 23:32:27",NULL,0,24,NULL,1,0,0,4,8,48,NULL,NULL,2,3,4,161
41,"2021-02-14 23:32:27",NULL,0,18,NULL,1,0,0,5,4,44,NULL,NULL,0,1,4,175
42,"2021-02-14 23:32:27",NULL,0,6,NULL,1,0,0,6,2,5,NULL,NULL,0,0,4,196
43,"2021-02-14 23:32:27",NULL,0,24,NULL,2,0,0,1,7,52,NULL,NULL,2,1,4,184
44,"2021-02-14 23:32:27",NULL,0,24,NULL,2,0,0,2,11,31,NULL,NULL,2,1,4,193
45,"2021-02-14 23:32:27",NULL,0,24,NULL,2,0,0,3,8,33,NULL,NULL,0,0,4,160
46,"2021-02-14 23:32:27",NULL,0,24,NULL,2,0,0,4,6,20,NULL,NULL,1,0,4,191
47,"2021-02-14 23:32:27",NULL,0,24,NULL,2,0,2,5,9,33,NULL,NULL,2,0,4,176
