Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Sunrisers Hyderabad,A Ashish Reddy,2016,4,3,1,47,2,23.5,29,162.06,0,0,0,2,4,2,3.5,0,39,1,39,10.17,23,0,0,1,0,3000000
Royal Challengers Bangalore,A Choudhary,2017,5,3,2,25,2,25,20,125,0,0,0,1,1,5,16.5,2,144,5,28.8,8.55,20.2,0,0,0,0,3000000
Mumbai Indians,A Dananjaya,2018,1,1,1,4,2,0,5,80,0,0,0,0,0,1,4,0,47,0,0,11.75,0,0,0,0,0,5000000
Delhi Daredevils,A Mishra,2016,14,2,0,4,2,2,14,28.57,0,0,0,0,0,14,46,0,344,13,26.46,7.47,21.2,1,0,3,0,35000000
Delhi Daredevils,A Mishra,2017,14,6,5,49,2,49,52,94.23,0,0,0,2,2,14,38.5,1,343,10,34.3,8.83,23.3,0,0,3,0,40000000
Delhi Daredevils,A Mishra,2018,10,1,1,1,2,0,2,50,0,0,0,0,0,10,37,1,264,12,22,7.13,18.5,0,0,0,0,45000000
Delhi Capitals,A Mishra,2019,11,4,2,21,2,10.5,24,87.5,0,0,0,2,0,11,40,0,270,11,24.54,6.75,21.8,0,0,1,0,45000000
Sunrisers Hyderabad,A Nehra,2016,8,2,2,1,2,0,1,100,0,0,0,0,0,8,26,1,199,9,22.11,7.65,17.3,0,0,1,0,55000000
Sunrisers Hyderabad,A Nehra,2017,6,2,2,0,2,0,0,0,0,0,0,0,0,6,21.1,0,197,8,24.62,9.3,15.8,0,0,1,0,60000000
Rising Pune Supergiants,A Zampa,2016,5,1,0,0,2,0,1,0,0,0,1,0,0,5,17,0,115,12,9.58,6.76,8.5,0,1,0,0,3000000
Rising Pune Supergiant,A Zampa,2017,6,1,0,5,2,5,7,71.42,0,0,0,1,0,6,19.5,0,163,7,23.28,8.21,17,0,0,0,0,5000000
Royal Challengers Bangalore,AB de Villiers,2016,16,16,3,687,2,52.84,407,168.79,1,6,1,57,37,0,0,0,0,0,0,0,0,0,0,19,0,110000000
Royal Challengers Bangalore,AB de Villiers,2017,9,9,1,216,2,27,163,132.51,0,1,0,12,16,0,0,0,0,0,0,0,0,0,0,6,0,110000000
Royal Challengers Bangalore,AB de Villiers,2018,12,11,2,480,2,53.33,275,174.54,0,6,0,39,30,0,0,0,0,0,0,0,0,0,0,6,0,110000000
Royal Challengers Bangalore,AB de Villiers,2019,13,13,3,442,2,44.2,287,154,0,5,0,31,26,0,0,0,0,0,0,0,0,0,0,6,0,110000000
Rising Pune Supergiants,AB Dinda,2016,9,0,0,0,2,0,0,0,0,0,0,0,0,9,30.3,2,231,11,21,7.57,16.6,0,0,0,0,5000000
Rising Pune Supergiant,AB Dinda,2017,3,1,0,7,2,7,7,100,0,0,0,1,0,3,10,0,119,1,119,11.9,60,0,0,0,0,5000000
Delhi Daredevils,Abhishek Sharma,2018,3,3,2,63,2,63,33,190.9,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,5500000
Sunrisers Hyderabad,Abhishek Sharma,2019,3,3,1,9,2,4.5,9,100,0,0,0,1,0,2,2,0,21,1,21,10.5,12,0,0,1,0,5500000
Sunrisers Hyderabad,AD Hales,2018,6,6,0,148,2,24.66,118,125.42,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,2,0,15000000
Delhi Daredevils,AD Mathews,2017,3,2,0,32,2,16,27,118.51,0,0,0,2,1,2,5,0,56,0,0,11.2,0,0,0,2,0,20000000
Gujarat Lions,AD Nath,2016,4,3,0,20,2,6.66,27,74.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
Gujarat Lions,AD Nath,2017,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
Kings XI Punjab,AD Nath,2018,1,1,0,9,2,9,13,69.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10000000
Royal Challengers Bangalore,AD Nath,2019,8,5,0,61,2,12.2,57,107.01,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,36000000
Kolkata Knight Riders,AD Russell,2016,12,8,1,188,2,26.85,114,164.91,0,0,0,10,15,12,36.3,0,291,15,19.4,7.97,14.6,1,0,2,0,120000000
Kolkata Knight Riders,AD Russell,2018,16,14,3,316,2,28.72,171,184.79,0,1,1,17,31,15,37.5,0,355,13,27.3,9.38,17.4,0,0,8,0,120000000
Kolkata Knight Riders,AD Russell,2019,14,13,4,510,2,56.66,249,204.81,0,4,1,31,52,12,30.1,0,287,11,26.09,9.51,16.4,0,0,4,0,120000000
Royal Challengers Bangalore,AF Milne,2016,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,43,1,43,10.75,24,0,0,1,0,32000000
