Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Abhishek Nayar,All-Rounder,Pune Warriors India,2013,Indian,5.0625,7.7478
Ajantha Mendis,Bowler,Pune Warriors India,2013,Overseas,5.4375,8.3217
Akila Dananjaya,All-Rounder,Chennai Super Kings,2013,Overseas,0.15,0.2296
Ben Laughlin,Bowler,Chennai Super Kings,2013,Overseas,0.15,0.2296
Christopher Barnwell,All-Rounder,Royal Challengers Bangalore,2013,Overseas,0.375,0.5739
Christopher Morris,All-Rounder,Chennai Super Kings,2013,Overseas,4.6875,7.1739
Clinton McKay,Bowler,Sunrisers Hyderabad,2013,Overseas,0.75,1.1478
Daniel Christian,All-Rounder,Royal Challengers Bangalore,2013,Overseas,0.75,1.1478
Darren Sammy,All-Rounder,Sunrisers Hyderabad,2013,Overseas,3.1875,4.8783
Dirk Nannes,Bowler,Chennai Super Kings,2013,Overseas,4.5,6.8869
Fidel Edwards,Bowler,Rajasthan Royals,2013,Overseas,1.575,2.4104
Glenn Maxwell,All-Rounder,Mumbai Indians,2013,Overseas,7.5,11.4782
Jacob Oram,All-Rounder,Mumbai Indians,2013,Overseas,0.375,0.5739
James Faulkner,All-Rounder,Rajasthan Royals,2013,Overseas,3,4.5913
Jason Holder,Bowler,Chennai Super Kings,2013,Overseas,0.15,0.2296
Jaydev Unadkat,Bowler,Royal Challengers Bangalore,2013,Indian,3.9375,6.0261
Jeevan Mendis,All-Rounder,Delhi Daredevils,2013,Overseas,0.375,0.5739
Jesse Ryder,All-Rounder,Delhi Daredevils,2013,Overseas,1.95,2.9843
Johan Botha,All-Rounder,Delhi Daredevils,2013,Overseas,3.375,5.1652
Kane Richardson,Bowler,Pune Warriors India,2013,Overseas,5.25,8.0348
Kusal Janith Perera,Wicket Keeper,Rajasthan Royals,2013,Indian,0.15,0.2296
Luke Pomersbach,Batsman,Kings XI Punjab,2013,Overseas,2.25,3.4435
Manpreet Gony,Bowler,Kings XI Punjab,2013,Indian,3.75,5.7391
Michael Clarke,Batsman,Pune Warriors India,2013,Overseas,3,4.5913
Moises Henriques,All-Rounder,Royal Challengers Bangalore,2013,Overseas,2.25,3.4435
Nathan Coulter-Nile,Bowler,Mumbai Indians,2013,Overseas,3.375,5.1652
Nathan McCullum,Bowler,Sunrisers Hyderabad,2013,Overseas,0.75,1.1478
Pankaj Singh,Bowler,Royal Challengers Bangalore,2013,Indian,1.125,1.7217
Philip Hughes,Batsman,Mumbai Indians,2013,Overseas,0.75,1.1478
Quinton De Kock,Wicket Keeper,Sunrisers Hyderabad,2013,Overseas,0.15,0.2296
Ravi Rampaul,Bowler,Royal Challengers Bangalore,2013,Overseas,2.175,3.3287
Ricky Ponting,Batsman,Mumbai Indians,2013,Overseas,3,4.5913
Rudra Pratap Singh,Bowler,Royal Challengers Bangalore,2013,Indian,3,4.5913
Ryan McLaren,Bowler,Kolkata Knight Riders,2013,Overseas,0.375,0.5739
Sachithra Senanayaka,All-Rounder,Kolkata Knight Riders,2013,Overseas,4.6875,7.1739
Sudeep Tyagi,Bowler,Sunrisers Hyderabad,2013,Indian,0.75,1.1478
Thisara Perera,All-Rounder,Sunrisers Hyderabad,2013,Overseas,5.0625,7.7478
Aaron Finch,Batsman,Sunrisers Hyderabad,2014,Overseas,4,5.7861
Abhishek Nayar,All-Rounder,Rajasthan Royals,2014,Indian,1,1.4465
Abu Nechim Ahmed,Bowler,Royal Challengers Bangalore,2014,Indian,0.3,0.434
Aditya Tare,Wicket Keeper,Mumbai Indians,2014,Indian,1.6,2.3145
Akshar Rajesh Patel,All-Rounder,Kings XI Punjab,2014,Indian,0.75,1.0849
Albie Morkel,All-Rounder,Royal Challengers Bangalore,2014,Overseas,2.4,3.4717
Amit Mishra,Bowler,Rajasthan Royals,2014,Indian,0.1,0.1447
Amit Mishra,Bowler,Sunrisers Hyderabad,2014,Indian,4.75,6.871
Amit Paunikar,Wicket Keeper,Sunrisers Hyderabad,2014,Indian,0.2,0.2893
Andre Russell,All-Rounder,Kolkata Knight Riders,2014,Overseas,0.6,0.8679
Ankit Nagendra Sharma,Bowler,Rajasthan Royals,2014,Indian,0.1,0.1447
Ankush Bains,Wicket Keeper,Rajasthan Royals,2014,Indian,0.1,0.1447
Anureet Singh,Bowler,Kings XI Punjab,2014,Indian,0.2,0.2893
Apoorv Vijay Wankhade,Batsman,Mumbai Indians,2014,Indian,0.1,0.1447
Ashish Nehra,Bowler,Chennai Super Kings,2014,Indian,2,2.8931
Ashish Reddy,Bowler,Sunrisers Hyderabad,2014,Indian,0.2,0.2893
Ashok Dinda,Bowler,Royal Challengers Bangalore,2014,Indian,1.5,2.1698
Baba Aparajith,Batsman,Chennai Super Kings,2014,Indian,0.1,0.1447
Ben Cutting,Bowler,Rajasthan Royals,2014,Overseas,0.8,1.1572
Ben Dunk,Wicket Keeper,Mumbai Indians,2014,Overseas,0.2,0.2893
Ben Hilfenhaus,Bowler,Chennai Super Kings,2014,Overseas,1,1.4465
Beuran Hendricks,Bowler,Kings XI Punjab,2014,Overseas,1.8,2.6038
Bhuvneshwar Kumar,Bowler,Sunrisers Hyderabad,2014,Overseas,4.25,6.1478
Brad Hodge,Batsman,Rajasthan Royals,2014,Overseas,2.4,3.4717
Brendan Taylor,Wicket Keeper,Sunrisers Hyderabad,2014,Overseas,0.3,0.434
Brendon McCullum,Wicket Keeper,Chennai Super Kings,2014,Overseas,3.25,4.7012
C.M. Gautam,Wicket Keeper,Mumbai Indians,2014,Indian,0.2,0.2893
Chama Milind,Bowler,Sunrisers Hyderabad,2014,Indian,0.1,0.1447
Cheteshwar Pujara,Batsman,Kings XI Punjab,2014,Indian,1.9,2.7484
Chris Lynn,Batsman,Kolkata Knight Riders,2014,Overseas,1.3,1.8805
Corey Anderson,All-Rounder,Mumbai Indians,2014,Overseas,4.5,6.5094
Darren Sammy,All-Rounder,Sunrisers Hyderabad,2014,Overseas,3.5,5.0629
David Warner,Batsman,Sunrisers Hyderabad,2014,Overseas,5.5,7.9559
